tax_class|zip_code|sale_price|year_of_sale
2B|11220|141226966|2009
4|11228|795125989|2009
2|11213|580634903|2010
4|11214|376541114|2010
4|11208|3085493354|2009
""|11211|310224808|0
2|11215|63610986|2009
2|11232|46343722|2010
4|0|518525588|2014
1B|11207|193675210|2011
4|11238|136841957|2010
4|11233|606258665|2009
4|11225|1055530259|2009
2|11203|678753913|2009
2|11229|232718451|2010
2|11210|377284886|2009
2B|11238|657006525|2009
4|11204|451725650|2009
4|11207|399522525|2009
2|11223|1362436092|2009
2|11234|333521970|2008
2|11225|478522592|2009
2B|11216|1239870644|2009
4|11219|1762665601|2009
2|11230|273754504|2009
1|11217|1339511910|2009
1A|11235|303422948|2009
2|11209|209030976|2009
4|11221|196541009|2010
2B|11206|167051405|2008
2|11237|714034968|2011
2A|11249|340774518|2014
2|11214|1797318879|2009
""|11238|3743538953|0
4|11230|188238405|2010
1|11201|290066134|2009
1|11215|392882347|2009
4|11213|458048347|2009
4|11216|341654857|2010
2A|11212|854127617|2008
2A|11207|429638957|2009
4|11218|293207591|2010
1|11222|148525788|2009
